Index,Date,Town,State/Province,Latitude,Longitude,Number,Image
1,06/15/05,Quispamsis,NB,45.3,-65.6,1,0
2,06/07/05,spencer,NY,42.3,-76.5,1,0
3,06/07/05,Beauport,QC,46.5,-71.1,1,0
4,06/06/05,Winnipeg,MB,49.5,-97.1,1,0
5,06/06/05,Winnipeg,MB,49.5,-97.1,1,0
6,06/05/05,Princeton Junction,NJ,40.3,-74.6,1,0
7,06/04/05,Kingston,ON,44.2,-76.3,1,0
8,06/04/05,Petawawa,ON,45.5,-77.2,1,0
9,06/03/05,Waltham,MA,42.4,-71.2,1,0
10,06/03/05,St. Hubert,QC,45.5,-73.4,1,0
11,06/02/05,Sabattus,ME,44.1,-70.1,1,0
12,06/02/05,CHARLESTOWN,RI,41.4,-71.7,1,0
13,06/02/05,Clifford,ND,47.4,-97.4,1,0
14,06/02/05,Westmoreland,NY,43.1,-75.5,1,0
15,06/01/05,Presque Isle,MI,45.3,-83.5,1,0
16,06/01/05,DeLancey,NY,42.2,-74.9,1,0
17,06/01/05,Stratford,CT,41.2,-73.1,1,0
18,06/01/05,Kitchener,ON,43.3,-80.3,1,0
19,06/01/05,Pine City,MN,45.8,-93,1,0
20,05/31/05,niagara-on-the-lake,ON,43.2,-79,1,0
21,05/31/05,Fowlerville,MI,42.7,-84.1,1,0
22,05/31/05,Boston,MA,42.4,-71.1,1,0
23,05/30/05,Toledo,OH,41.6,-83.5,1,0
24,05/30/05,Scotch Plains,NJ,40.6,-74.4,1,0
25,05/30/05,Sutton,NH,43.3,-71.9,1,0
26,05/30/05,Duluth,MN,47.1,-91.9,1,0
27,05/29/05,Sydenham,ON,44.3,-76.4,1,0
28,05/29/05,Peshtigo,WI,45,-87.7,1,0
29,05/28/05,Kingston,ON,44.2,-76.3,1,0
30,05/28/05,"Kennebunkport,  ME",ME,43.4,-70.5,1,0
31,05/28/05,Kingston,ON,44.2,-76.3,1,0
32,05/28/05,Owen Sound,ON,44.3,-80.6,1,0
33,05/28/05,Newton,NH,42.9,-71,1,0
34,05/28/05,Rockford,MI,43.1,-85.5,1,0
35,05/28/05,MADOC,ON,44.3,-77.3,1,0
36,05/28/05,Rockford,IL,42.3,-89.1,1,0
37,05/27/05,Flint,MI,43,-83.7,1,0
38,05/27/05,South Orange,NJ,40.7,-74.3,1,0
39,05/27/05,trenton,ON,44.1,-77.4,1,0
40,05/27/05,Kingston,ON,44.2,-76.3,1,0
41,05/27/05,Sidney,NY,42.3,-75.4,1,0
42,05/26/05,Hillsdale,NJ,41,-74,1,0
43,05/26/05,Florham Park,NJ,40.8,-74.4,1,0
44,05/26/05,Medford Lakes,NJ,39.9,-74.8,1,0
45,05/26/05,Saginaw,MN,46.9,-92.5,1,0
46,05/26/05,Long Valley,NJ,40.8,-74.8,1,0
47,05/26/05,Jackson,NJ,40.1,-74.4,1,0
48,05/25/05,Rochester,MN,44.1,-92.5,1,0
49,05/25/05,New Richmond,WI,45.2,-92.6,1,0
50,05/25/05,Hackettstown,NJ,40.9,-74.8,1,0
51,05/25/05,Cedarville,MI,46,-84.3,1,0
52,05/25/05,Minneapolis,MN,45,-93.3,1,0
53,05/25/05,North Haven,CT,41.4,-72.9,1,0
54,05/25/05,St. Paul,MN,45,-93.1,1,0
55,05/25/05,East Lansing,MI,42.8,-84.4,1,0
56,05/25/05,Ann Arbor,MI,42.3,-83.8,1,0
57,05/24/05,Altoona,IA,41.6,-93.5,1,0
58,05/24/05,Waukesha,WI,43,-88.2,1,0
59,05/24/05,Marne,MI,43.1,-85.8,1,0
60,05/24/05,Boulder Junction,WI,46.1,-89.6,1,0
61,05/24/05,Eden Prairie,MN,44.9,-93.4,1,0
62,05/24/05,Chassell,MI,47,-88.6,1,0
63,05/24/05,Muncie,IN,40.1,-85.4,1,0
64,05/24/05,Plymouth,MI,42.4,-83.5,1,0
65,05/24/05,two rivers,WI,44.2,-87.6,1,0
66,05/24/05,Amherst,MA,42.4,-72.5,1,0
67,05/24/05,Dugald,MB,49.5,-96.5,1,0
68,05/24/05,Port Hope,ON,43.6,-78.2,1,0
69,05/24/05,Mahtomedi,MN,45.1,-93,1,0
70,05/24/05,Kingston,ON,44.2,-76.3,1,0
71,05/24/05,Minneapolis,MN,45,-93.3,1,0
72,05/24/05,Dunnville,ON,42.5,-79.4,1,0
73,05/24/05,Amery,WI,45.4,-92.4,1,0
74,05/23/05,Leola,PA,40.1,-76.2,1,0
75,05/23/05,New London,MN,45.3,-94.9,1,0
76,05/23/05,Eagan,MN,44.8,-93.2,1,0
77,05/23/05,St. Paul,MN,45,-93.1,1,0
78,05/23/05,Andover,MN,45.3,-93.3,1,0
79,05/23/05,Elizabeth,MN,46.4,-96.1,1,0
80,05/23/05,Gilbert,MN,47.5,-92.4,1,0
81,05/23/05,avon,CT,41.8,-72.9,1,0
82,05/23/05,clifton,NJ,40.9,-74.1,1,0
83,05/23/05,Bristol,CT,41.7,-72.9,1,0
84,05/22/05,Dubuque,IA,42.5,-90.7,1,0
85,05/22/05,Clifford,ND,47.4,-97.4,1,0
86,05/22/05,Sauk Centre,MN,45.7,-95,1,0
87,05/22/05,St. Paul,MN,45,-93.1,1,0
88,05/22/05,Oregon,WI,42.9,-89.4,1,0
89,05/22/05,Edina,MN,45,-93.2,1,0
90,05/21/05,Detroit,MI,42.3,-83.1,1,0
91,05/21/05,Stewartsville,NJ,40.7,-75.1,1,0
92,05/21/05,Willowick,OH,41.7,-81.4,1,0
93,05/20/05,Milwaukee,WI,43,-87.9,1,0
94,05/20/05,Hopkinton,IA,42.3,-91.2,1,0
95,05/20/05,Noblesville,IN,40.1,-86,1,0
96,05/19/05,North Canton,OH,40.9,-81.4,1,0
97,05/19/05,Mora,MN,46,-93.3,1,0
98,05/19/05,Mora,MN,46,-93.3,1,0
99,05/19/05,Vernon,NJ,41.2,-74.5,1,0
100,05/19/05,Shelton,CT,41.3,-73.1,1,0
101,05/19/05,Danbury,CT,41.4,-73.5,1,0
102,05/18/05,Hazleton,IA,42.6,-91.9,1,0
103,05/18/05,Brevard,NC,35.2,-82.8,1,0
104,05/18/05,Naperville,IL,41.8,-88.1,1,0
105,05/18/05,Campbell,MN,46.1,-96.4,1,0
106,05/18/05,Chaska,MN,44.8,-93.6,1,0
107,05/18/05,Norwich,VT,43.8,-72.3,1,0
108,05/17/05,Wheeling,IL,42.1,-87.9,1,0
109,05/17/05,Toronto,ON,43.4,-79.3,1,0
110,05/16/05,Colman,SD,43.9,-96.8,1,0
111,05/16/05,Corning,OH,39.6,-82,1,0
112,05/16/05,Philipsburg,PA,40.9,-78.2,1,0
113,05/16/05,Paramus,NJ,40.9,-74.1,1,0
114,05/16/05,Port Huron,MI,43,-82.5,1,0
115,05/15/05,Wintersville,OH,40.4,-80.7,1,0
116,05/15/05,Collegeville,PA,40.2,-75.4,1,0
117,05/15/05,egg harbor twp,NJ,39.4,-74.6,1,0
118,05/15/05,Maxwell,IA,41.9,-93.4,1,0
119,05/14/05,North Canton,OH,40.9,-81.4,1,0
120,05/14/05,Batavia,IL,41.8,-88.3,1,0
121,05/14/05,Poynette,WI,43.4,-89.4,1,0
122,05/13/05,Fishers,IN,40,-86,1,0
123,05/13/05,Westland,MI,42.3,-83.4,1,0
124,05/13/05,Columbus,OH,40.1,-83,1,0
125,05/13/05,Plymouth,MN,45,-93.5,1,0
126,05/13/05,clifton,NJ,40.9,-74.1,1,0
127,05/12/05,Belleville,IN,39.7,-86.5,1,0
128,05/12/05,Winnipeg,MB,49.5,-97.1,1,0
129,05/12/05,Oakville,CT,41.6,-73.1,1,0
130,05/12/05,Raritan,NJ,40.6,-74.6,1,0
131,05/11/05,Walton,IN,40.7,-86.3,1,0
132,05/11/05,Gahanna,OH,40,-82.9,1,0
133,05/10/05,Ellenville,NY,41.7,-74.5,1,0
134,05/10/05,Zionsville,IN,40,-86.3,1,0
135,05/10/05,Haliburton,ON,45,-78.3,1,0
136,05/10/05,Des Moines,IA,41.6,-93.6,1,0
137,05/10/05,Dubuque,IA,42.5,-90.7,1,0
138,05/09/05,Wayland,MA,42.4,-71.4,1,0
139,05/09/05,Deerfield,IL,42.2,-87.9,1,0
140,05/09/05,Boston,MA,42.4,-71.1,1,0
141,05/08/05,Waterloo,IN,41.5,-85,1,0
142,05/07/05,Hebron,CT,41.7,-72.4,1,0
143,05/07/05,Carney's Point,NJ,39.7,-75.5,1,0
144,05/06/05,Winnetka,IL,42.1,-87.8,1,0
145,05/06/05,East Lansing,MI,42.8,-84.4,1,0
146,05/06/05,East Lansing,MI,42.8,-84.4,1,0
147,05/06/05,East Lansing,MI,42.8,-84.4,1,0
148,05/06/05,East Lansing,MI,42.8,-84.4,1,0
149,05/06/05,Sharpsburg,MD,39.4,-77.8,1,0
150,05/06/05,Garden City,MI,42.3,-83.3,1,0
151,05/06/05,Chicago,IL,41.9,-87.6,1,0
152,05/06/05,Indianapolis,IN,39.8,-86.1,1,0
153,05/06/05,Spraggs,PA,39.8,-80.3,1,0
154,05/05/05,Chicago,IL,41.9,-87.6,1,0
155,05/05/05,Trafalgar,IN,39.4,-86.2,1,0
156,05/05/05,Sauk Centre,MN,45.7,-95,1,0
157,05/05/05,Indianapolis,IN,39.8,-86.1,1,0
158,05/05/05,Kendall Park,NJ,40.4,-74.6,1,0
159,05/04/05,Glenshaw,PA,40.5,-80,1,0
160,05/03/05,New London,MN,45.3,-94.9,1,0
161,05/03/05,Zion,IL,42.5,-87.9,1,0
162,05/02/05,Rehoboth Beach,DE,38.7,-75.1,1,0
163,05/02/05,Wayland,MA,42.4,-71.4,1,0
164,05/01/05,Sonora,TX,30.5,-100.5,1,0
165,05/01/05,Thermopolis,WY,43.7,-108.4,1,0
166,05/01/05,Perkasie,PA,40.4,-75.2,1,0
167,05/01/05,Woodstock,IL,42.3,-88.5,1,0
168,05/01/05,Greenwood,IN,39.6,-86.2,1,0
169,05/01/05,Middletown,OH,39.5,-84.4,1,0
170,05/01/05,Hanover,PA,39.8,-77,1,0
171,05/01/05,Sioux City,IA,42.5,-96.4,1,0
172,04/29/05,Cub Run,KY,37.3,-86.1,1,0
173,04/29/05,Hull,MA,42.3,-70.9,1,0
174,04/29/05,Herndon,VA,39,-77.4,1,0
175,04/29/05,Loudoun County,VA,39,-77.8,1,0
176,04/29/05,Piedmont,MD,39.5,-76.9,1,0
177,04/29/05,Ellettsville,IN,39.3,-86.6,1,0
178,04/29/05,South Lyon,MI,42.4,-83.7,1,0
179,04/28/05,Bowie,MD,39,-76.7,1,0
180,04/28/05,Chester,CT,41.4,-72.5,1,0
181,04/28/05,Madison,WI,43.1,-89.4,1,0
182,04/28/05,Brownsburg,IN,39.9,-86.4,1,0
183,04/27/05,Tupelo,MS,34.3,-88.7,1,0
184,04/27/05,Stephens City,VA,39.1,-78.2,1,0
185,04/27/05,Lexington,MA,42.4,-71.2,1,0
186,04/26/05,Diamond,OH,41.1,-81,1,0
187,04/26/05,Walkersville,MD,39.5,-77.3,1,0
188,04/26/05,Egg Harbor Township,NJ,39.6,-74.4,1,0
189,04/26/05,Indianapolis,IN,39.8,-86.1,1,0
190,04/24/05,Shawano,WI,44.8,-88.6,1,0
191,04/23/05,Three Oaks,MI,41.8,-86.6,1,0
192,04/23/05,Moravian Falls,NC,36.1,-81.1,1,0
193,04/23/05,Newport News,VA,37.1,-76.5,1,0
194,04/22/05,Northfield,MN,44.5,-93.2,1,0
195,04/22/05,Roseland,VA,37.8,-79,1,0
196,04/22/05,Marlton,NJ,39.9,-74.9,1,0
197,04/22/05,Barnard,MO,40.2,-94.8,1,0
198,04/22/05,Rockville,MD,39.1,-77.1,1,0
199,04/22/05,Mullica Hill,NJ,39.7,-75.2,1,0
200,04/21/05,Sylvania,OH,41.7,-83.7,1,0
201,04/21/05,Columbus,OH,40.1,-83,1,0
202,04/21/05,stone mountain,GA,33.8,-84.2,1,0
203,04/21/05,California,MD,38.3,-76.5,1,0
204,04/21/05,State Line,MS,31.4,-88.6,1,0
205,04/20/05,Alamo,MI,42.4,-85.7,1,0
206,04/20/05,McLean,VA,38.9,-77.2,1,0
207,04/20/05,Westminster,MD,39.5,-77,1,0
208,04/20/05,Mishicot,WI,44.3,-87.6,1,0
209,04/20/05,Independence,IA,42.5,-91.8,1,0
210,04/20/05,Sioux City,IA,42.5,-96.4,1,0
211,04/19/05,Independence,IA,42.5,-91.8,1,0
212,04/19/05,Bloomington,IL,40.5,-89,1,0
213,04/16/05,Terre Haute,IN,39.4,-87.4,1,0
214,04/15/05,Waukesha,WI,43,-88.2,1,0
215,04/15/05,Hattieville,AR,35.3,-92.8,1,0
216,04/15/05,Gallatin,TN,36.4,-86.5,1,0
217,04/15/05,Kansas City,MO,39.1,-94.6,1,0
218,04/15/05,Pretty Prairie,KS,37.8,-98,1,0
219,04/14/05,Brentwood,TN,36,-86.8,1,0
