Index,Date,Town,State/Province,Latitude,Longitude,Number,Image
1,07/27/98,"Fort Worth, Texas",TX,32.7,-97.4,1,0
2,07/24/98,Lowville,NY,43.8,-75.5,1,0
3,07/23/98,White House,PA,40.3,-79.7,1,0
4,07/12/98,Wolfeboro,NH,43.6,-71.2,1,0
5,07/12/98,Arthur,ON,43.5,-80.3,1,0
6,07/09/98,Denver,CO,39.8,-105,1,0
7,07/07/98,Maryhill,WA,45.7,-120.8,1,0
8,07/04/98,Chanhassen,MN,44.9,-93.5,1,0
9,07/01/98,Amherst,MA,42.4,-72.5,1,0
10,07/01/98,Orleans,MA,41.8,-70,1,0
11,06/30/98,Moorhead,MN,46.9,-96.7,1,0
12,06/30/98,Lady's Island  (Beaufort),SC,32.4,-80.6,1,0
13,06/30/98,Minnetonka,MN,44.9,-93.7,1,0
14,06/28/98,St. Catharines,ON,43.2,-79.3,1,0
15,06/28/98,LeRoy,MI,44,-85.4,1,0
16,06/23/98,Bancroft,ON,45.1,-77.9,1,0
17,06/22/98,Trumbull,CT,41.3,-73.2,1,0
18,06/22/98,Swanville,ME,44.4,-69,1,0
19,06/18/98,Port perry,ON,44,-79,1,0
20,06/16/98,Montecello,MN,46.9,-96.7,1,0
21,06/14/98,Lebanon,NJ,40.6,-74.8,1,0
22,06/14/98,Terre Haute,IN,39.4,-87.4,1,0
23,06/13/98,Boyceville,WI,45.1,-92,1,0
24,06/13/98,Carmi,IL,38,-88.1,1,0
25,06/13/98,Ray,MI,42.8,-82.9,1,0
26,06/13/98,Fort McMurray,AB,56.7,-111.4,1,0
27,06/10/98,Bethlehem,PA,40.6,-75.4,1,0
28,06/10/98,Reading,PA,40.4,-75.9,1,0
29,06/09/98,Arundel,QC,45.6,-74.4,1,0
30,06/09/98,Utica,NY,43.1,-75.2,1,0
31,06/08/98,Cambridge Springs,PA,41.8,-80,1,0
32,06/08/98,Brighton,MI,42.5,-83.8,1,0
33,06/07/98,Yamachiche,QC,46.3,-72.8,1,0
34,06/06/98,High Bridge,NJ,40.7,-74.9,1,0
35,06/06/98,Washingtonville,NY,41.4,-74.2,1,0
36,06/06/98,Horseheads,NY,42.2,-76.8,1,0
37,06/06/98,Farmington,ME,44.7,-70.1,1,0
38,06/06/98,Massillon,OH,40.8,-81.5,1,0
39,06/06/98,Madoc,ON,44.5,-77.5,1,0
40,06/03/98,Delaware,OH,40.3,-83.1,1,0
41,06/03/98,Newport News,VA,37.1,-76.5,1,0
42,06/02/98,Farmington,ME,44.7,-70.1,1,0
43,06/02/98,Spruce Pine,NC,35.9,-82.1,1,0
44,06/01/98,New Vinyard,ME,44.7,-70.1,1,0
45,06/01/98,Erie,PA,42.1,-80.1,1,0
46,06/01/98,Byron Center,MI,42.8,-85.7,1,0
47,06/01/98,Frankfort,KY,38.2,-84.9,1,0
48,05/31/98,Clinton,IA,41.9,-90.2,1,0
49,05/31/98,Turtle Lake,SK,45,-93.5,1,0
50,05/31/98,Russell Springs,KY,37,-85,1,0
51,05/30/98,Halifax,NS,44.6,-63.6,1,0
52,05/30/98,Farmington,ME,44.4,-70.1,1,0
53,05/30/98,Mont Orford,QC,45,-93.5,1,0
54,05/30/98,Orillia,ON,44.6,-79.4,1,0
55,05/29/98,Trumansburg,NY,42.5,-76.7,1,0
56,05/29/98,Palmyra,NY,43,-77.1,1,0
57,05/29/98,Kewanee,IL,41.2,-90,1,0
58,05/29/98,mercer,ME,44.7,-70.1,1,0
59,05/29/98,Elliot Lake,ON,46.3,-82.5,1,0
60,05/28/98,Marion,IN,40.6,-85.7,1,0
61,05/28/98,Bath,MI,42.8,-84.5,1,0
62,05/28/98,Fredonia,NY,42.4,-79.3,1,0
63,05/28/98,industry,ME,44.7,-70.1,1,0
64,05/28/98,Ottawa,ON,45.4,-75.7,1,0
65,05/27/98,Merrimack,NH,42.9,-71.5,1,0
66,05/27/98,Endicott,NY,42.1,-76.1,1,0
67,05/27/98,Bangor,ME,44.5,-68.5,1,0
68,05/27/98,Hayward,WI,46,-91.3,1,0
69,05/26/98,Auburn,IN,41.3,-85,1,0
70,05/25/98,Hancock,MA,40.8,-74,1,0
71,05/25/98,Columbus,OH,40.1,-83,1,0
72,05/25/98,Stowe,VT,44.5,-72.7,1,0
73,05/25/98,Twin Lakes,WI,42.5,-88.3,1,0
74,05/25/98,Merrimack,NH,42.9,-71.5,1,0
75,05/25/98,Northfield,MN,44.4,-93.1,1,0
76,05/25/98,Mooers,NY,45,-73.6,1,0
77,05/24/98,Pueblo,CO,38.2,-104.4,1,0
78,05/24/98,Havelock,ON,44.5,-77.9,1,0
79,05/24/98,Freehold,NJ,40.2,-74.3,1,0
80,05/24/98,Merrimack,NH,42.9,-71.5,1,0
81,05/24/98,Coleraine,MN,47.3,-93.4,1,0
82,05/24/98,Kingston,NY,42,-74.1,1,0
83,05/23/98,West Bloomfield,MI,42.5,-83.4,1,0
84,05/23/98,Cleveland,OH,41.5,-81.7,1,0
85,05/23/98,Little Britain,ON,43,-78.1,1,0
86,05/23/98,Saskatoon,SK,52.1,-106.6,1,0
87,05/23/98,Texarkana,AR,33.5,-93.9,1,0
88,05/23/98,Jim Thrope,PA,40.5,-75.5,1,0
89,05/22/98,Newport News,VA,37.1,-76.5,1,0
90,05/22/98,Anniston,AL,33.7,-85.9,1,0
91,05/22/98,Alliance,OH,40.9,-81.1,1,0
92,05/21/98,Acushnet,MA,41.7,-70.9,1,0
93,05/21/98,Hillsborough,NH,43.1,-72,1,0
94,05/20/98,Throop,PA,41.5,-75.6,1,0
95,05/20/98,Durham,NC,36,-78.9,1,0
96,05/20/98,Plymouth,MN,45,-93.4,1,0
97,05/20/98,Mountain City,TN,36.5,-81.8,1,0
98,05/20/98,Hills,IA,41.6,-91.6,1,0
99,05/20/98,Stonington,MI,45.4,-86.6,1,0
100,05/20/98,Putney,VT,43,-72.5,1,0
101,05/19/98,Grafton,ON,44,-78,1,0
102,05/19/98,Rocky Hill,CT,41.7,-72.7,1,0
103,05/19/98,Wayzata,MN,45,-93.5,1,0
104,05/19/98,Waukegan,IL,42.4,-87.9,1,0
105,05/19/98,trenton,ON,44.1,-77.6,1,0
106,05/19/98,Caroline,WI,44.7,-88.9,1,0
107,05/19/98,Hartford,CT,41.8,-72.7,1,0
108,05/19/98,Harbor View,OH,41.7,-83.4,1,0
109,05/19/98,Toledo,OH,41.6,-83.5,1,0
110,05/19/98,Guelph,ON,43.6,-80.3,1,0
111,05/19/98,bowie,MD,39,-76.7,1,0
112,05/19/98,Danbury,WI,46.1,-92.2,1,0
113,05/19/98,Finland,MN,47.6,-91.2,1,0
114,05/19/98,Elliot Lake,ON,46.4,-82.6,1,0
115,05/19/98,Rockford,IL,42.3,-89.1,1,0
116,05/19/98,Portsmouth,NH,43.1,-70.8,1,0
117,05/19/98,Woodstock,NB,46,-67.6,1,0
118,05/19/98,London,ON,43,-81.2,1,0
119,05/19/98,Rudyard,MI,46.2,-84.6,1,0
120,05/18/98,La Porte City,IA,42.3,-92.3,1,0
121,05/18/98,St. Paul,MN,45,-93.1,1,0
122,05/18/98,Rochester,MN,44.1,-92.5,1,0
123,05/18/98,Carleton,MI,42.1,-83.4,1,0
124,05/18/98,Eagan,MN,44.5,-93.1,1,0
125,05/18/98,Warren,PA,41.8,-79.1,1,0
126,05/18/98,Orion,IL,41.4,-90.4,1,0
127,05/18/98,Portsmouth,NH,43.1,-70.8,1,0
128,05/18/98,Rye,NH,43,-70.8,1,0
129,05/18/98,Des Moines,IA,41.6,-93.6,1,0
130,05/17/98,Mora,MN,46,-93.3,1,0
131,05/17/98,Stoughton,MA,42.1,-71.1,1,0
132,05/17/98,Camden Wyoming,DE,39.1,-75.3,1,0
133,05/17/98,Chesapeake City,MD,39.5,-75.8,1,0
134,05/17/98,Kewaskum,WI,43.5,-88.2,1,0
135,05/17/98,Moran,MI,46.1,-85,1,0
136,05/17/98,York,NE,40.8,-97.5,1,0
137,05/17/98,Des Moines,IA,41.6,-93.6,1,0
138,05/17/98,Rochester,MA,41.8,-70.8,1,0
139,05/17/98,Amherst,MA,42.4,-72.5,1,0
140,05/16/98,malvern,IA,41,-95.6,1,0
141,05/16/98,Bennington,NH,43,-71.9,1,0
142,05/16/98,Des Moines,IA,41.6,-93.6,1,0
143,05/16/98,Lakeville,MN,44.6,-93.2,1,0
144,05/16/98,New Gloucester,ME,44,-70.3,1,0
145,05/16/98,Saint John,MN,45.6,-65,1,0
146,05/16/98,Fundy National Park,NB,45.6,-65,1,0
147,05/16/98,Ames,IA,42.1,-93.6,1,0
148,05/15/98,Boone,NC,36.2,-81.7,1,0
149,05/15/98,Colton,NY,44.3,-74.8,1,0
150,05/15/98,Bakersville,NC,36.1,-82.2,1,0
151,05/15/98,North Brunswick,NJ,40.5,-74.5,1,0
152,05/15/98,Lancaster,PA,40.1,-76.3,1,0
153,05/15/98,Beaverton,ON,44.4,-79,1,0
154,05/15/98,Hutchinson,MN,44.9,-94.4,1,0
155,05/15/98,Edmonton,AB,53.3,-113.3,1,0
156,05/14/98,Eastpointe,MI,42.3,-82.3,1,0
157,05/14/98,Mindenmines,MO,37.4,-94.6,1,0
158,05/13/98,Minneapolis,MN,45,-93.3,1,0
159,05/13/98,Rochester,MN,44.1,-92.5,1,0
160,05/13/98,Houston,TX,29.8,-95.4,1,0
161,05/13/98,Beaverton,ON,44.5,-79.1,1,0
162,05/13/98,Portsmouth,NH,43.1,-70.8,1,0
163,05/12/98,huntington,WV,38.4,-82.4,1,0
164,05/12/98,New Orleans,LA,30,-90.1,1,0
165,05/12/98,Minneapolis,MN,45,-93.3,1,0
166,05/12/98,Overland Park,KS,39,-94.4,1,0
167,05/12/98,St. Louis,MO,38.6,-90.2,1,0
168,05/11/98,Anniston,AL,33.7,-85.9,1,0
169,05/10/98,Boon,MI,44.3,-85.6,1,0
170,05/10/98,Point Pelee National Park,ON,41.1,-82.1,1,0
171,05/09/98,Lincoln,NE,40.8,-96.7,1,0
172,05/09/98,Windsor,ON,42.3,-83.2,1,0
173,05/08/98,Virginia Beach,VA,36.8,-76.1,1,0
174,05/08/98,Ardmore,OK,34.2,-97.2,1,0
175,05/08/98,Lincoln,NE,40.8,-96.7,1,0
176,05/08/98,Kisatchie,LA,31.2,-93.1,1,0
177,05/07/98,Tupelo,MS,34.3,-88.7,1,0
178,05/07/98,Locust Valley,NY,40.9,-73.6,1,0
179,05/07/98,Windsor,ON,42.3,-83.2,1,0
180,05/06/98,Sweet Briar,VA,37.6,-79.1,1,0
181,05/06/98,Dexter,MI,42.4,-83.9,1,0
182,05/06/98,Cape May,NJ,38.9,-75,1,0
183,05/06/98,Greenland,NH,43,-70.8,1,0
184,05/06/98,Louisville,TN,35.8,-84,1,0
185,05/05/98,Durham,NY,42.4,-74.2,1,0
186,05/05/98,Elmont,NY,40.7,-73.7,1,0
187,05/04/98,Castilia,NB,44.7,-66.8,1,0
188,05/04/98,Poolesville,MD,39.1,-77.4,1,0
189,05/02/98,Frankfort,IN,40.3,-86.5,1,0
190,05/02/98,Osage,KS,38.4,-95.8,1,0
191,05/02/98,McLean,VA,38.6,-77.1,1,0
192,05/02/98,Valley Center,KS,37.9,-97.3,1,0
193,05/02/98,Horsham,PA,40.2,-75.2,1,0
194,05/01/98,Maplewood,MN,45,-93.1,1,0
195,05/01/98,Olney,IL,38.7,-88.1,1,0
196,05/01/98,"Ralston,",NE,41.2,-96.1,1,0
197,05/01/98,Vinalhaven,ME,44,-68.5,1,0
198,05/01/98,Olney,IL,38.7,-88.1,1,0
199,05/01/98,Douglasville,GA,33.8,-84.8,1,0
200,04/30/98,Quincy,MA,42.3,-71.1,1,0
201,04/30/98,Livingston,WI,42.9,-90.5,1,0
202,04/29/98,Hudson,WI,45,-92.7,1,0
203,04/28/98,Salem,OR,44.9,-122.9,1,0
204,04/27/98,Medford,OR,42.3,-122.9,1,0
205,04/26/98,Quincy,IL,39.9,-91.3,1,0
206,04/26/98,Cobb's Creek,VA,37.1,-76.5,1,0
207,04/26/98,Ashland,OR,42.2,-122.6,1,0
208,04/24/98,Stafford,KS,37.9,-98.6,1,0
209,04/24/98,Apex,NC,35.7,-78.9,1,0
210,04/23/98,Lansdowne,MD,39.2,-76.7,1,0
211,04/22/98,Charleston,AR,35.3,-94,1,0
212,04/22/98,Bay City,MI,43.6,-84,1,0
213,04/21/98,Lawrence,KS,39,-95.2,1,0
214,04/21/98,Metairie,LA,30,-90.2,1,0
215,04/21/98,Cape May Point,NJ,38.9,-75,1,0
216,04/20/98,Tallahassee,FL,30.4,-84.3,1,0
217,04/19/98,Lincoln,NE,40.8,-96.7,1,0
218,04/19/98,Independence,MO,39.1,-94.4,1,0
219,04/19/98,Manhattan,KS,39.2,-96.6,1,0
220,04/19/98,Wichita,KS,37.7,-97.3,1,0
221,04/17/98,Lawrence,KS,39,-95.2,1,0
222,04/17/98,Wichita,KS,37.7,-97.3,1,0
223,04/17/98,Kisatchie,LA,31.2,-93.1,1,0
224,04/16/98,Evelyn,LA,31.6,-93.3,1,0
225,04/15/98,Union Mills,NC,35.5,-82,1,0
226,04/15/98,Omaha,NE,41.3,-95.9,1,0
227,04/15/98,Louisville,TN,35.8,-84,1,0
228,04/15/98,Tallahassee,FL,30.4,-84.3,1,0
229,04/14/98,Clearwater,KS,37.5,-97.5,1,0
230,04/13/98,Topeka,KS,39.1,-95.7,1,0
231,04/13/98,Wamego,KS,39.2,-96.3,1,0
232,04/13/98,Lincoln,NE,40.8,-96.7,1,0
233,04/13/98,Palatine,IL,42.1,-88.1,1,0
234,04/12/98,Gainesville,GA,34.3,-83.8,1,0
235,04/12/98,Tupelo,MS,34.3,-88.7,1,0
236,04/12/98,Sherwood,AR,34.9,-92.2,1,0
237,04/12/98,Wilmington,NC,34.2,-77.9,1,0
238,04/12/98,Sopchoppy,FL,30.1,-84.5,1,0
239,04/11/98,Rosiclare,IL,37.4,-88.4,1,0
240,04/11/98,Surf City,NC,35.8,-78.6,1,0
241,04/11/98,Kewanee,IL,41.2,-90,1,0
242,04/10/98,Olathe,KS,38.5,-94.5,1,0
243,04/10/98,Hilton Head,SC,32.2,-80.8,1,0
244,04/10/98,Saint John,KS,38.1,-98.7,1,0
245,04/10/98,Pinckney Island,SC,32.2,-80.4,1,0
246,04/09/98,Houston,TX,29.8,-95.4,1,0
247,04/09/98,South Newport,GA,31.6,-81.2,1,0
248,04/09/98,Hardeeville,SC,32.2,-81.3,1,0
249,04/09/98,Savannah,SC,34.1,-79.5,1,0
250,04/08/98,Chester,IL,37.9,-89.8,1,0
251,04/08/98,Perryville,MO,37.7,-89.9,1,0
252,04/07/98,Chapel Hill,NC,35.9,-79,1,0
253,04/07/98,Salem,MO,37.6,-91.5,1,0
254,04/07/98,Spruce Pine,NC,35.9,-82.1,1,0
255,04/06/98,Atlanta,GA,33.8,-84.4,1,0
256,04/06/98,Lorenzo,TX,33.6,-101.5,1,0
257,04/06/98,Winston-Salem,NC,36.1,-80.1,1,0
258,04/06/98,Pinson,AL,33.7,-86.7,1,0
259,04/05/98,Guthrie,OK,35.8,-97.5,1,0
260,04/04/98,Texarkana,AR,33.5,-93.9,1,0
261,04/04/98,Kansas City,KS,39.1,-94.6,1,0
262,04/03/98,Dalton,GA,34.8,-84.9,1,0
263,04/03/98,Palmetto,FL,27.5,-82.6,1,0
264,04/02/98,Tupelo,MS,34.3,-88.7,1,0
265,04/02/98,Evansville,IN,38,-87.6,1,0
266,04/02/98,Ardmore,OK,34.2,-97.2,1,0
267,04/01/98,Benton,LA,32.7,-93.6,1,0
268,03/30/98,Dallas,TX,32.8,-96.8,1,0
269,03/30/98,Wichita Falls,TX,34,-98.5,1,0
270,03/29/98,Texarkana,AR,33.3,-94,1,0
271,03/29/98,Lubbock,TX,33.6,-101.9,1,0
272,03/29/98,Bryan,TX,30.6,-96.4,1,0
273,03/29/98,Graham,TX,33.1,-98.6,1,0
274,03/29/98,Lawton,OK,34.5,-98.3,1,0
275,03/28/98,Austin,TX,30.2,-97.4,1,0
