Index,Date,Town,State/Province,Latitude,Longitude,Number,Image
1,07/31/05,richmond,VA,37.5,-77.4,1,0
2,07/27/05,Coolville,OH,39.2,-81.9,1,0
3,07/24/05,Stephens City,VA,39.1,-78.2,1,0
4,07/23/05,Readington,NJ,40.6,-74.7,1,0
5,07/17/05,Saint-Agapit,QC,46.3,-71.3,1,0
6,07/11/05,Corbeil,ON,46.2,-79.2,1,0
7,07/10/05,Parish,NY,43.4,-76.1,1,0
8,07/05/05,Essex Junction,VT,44.5,-73.1,1,0
9,07/01/05,bismarck,ND,46.8,-100.7,1,0
10,07/01/05,bismarck,ND,46.8,-100.7,1,0
11,06/30/05,Algona,IA,43.1,-94.2,1,0
12,06/27/05,Zion,IL,42.5,-87.9,1,0
13,06/26/05,Selkirk,MB,50.1,-96.5,1,0
14,06/26/05,Winnipeg,MB,49.5,-97.1,1,0
15,06/25/05,Algona,IA,43.1,-94.2,1,0
16,06/25/05,Chassell,MI,47,-88.6,1,0
17,06/23/05,Colman,SD,43.9,-96.8,1,0
18,06/21/05,North Canton,OH,40.9,-81.4,1,0
19,06/21/05,New Castle County,DE,39.6,-75.6,1,0
20,06/20/05,Coshocton,OH,40.3,-81.9,1,0
21,06/19/05,Muskego,WI,42.9,-88.1,1,0
22,06/16/05,Battle Creek,MI,42.3,-85.2,1,0
23,06/16/05,Sauk Centre,MN,45.7,-95,1,0
24,06/15/05,Mahtomedi,MN,45.1,-93,1,0
25,06/15/05,Sauk Centre,MN,45.7,-95,1,0
26,06/14/05,West Palm Beach,FL,26.7,-80.1,1,0
27,06/10/05,Golden Valley,MN,45,-93.4,1,0
28,06/10/05,Madison,WI,43.1,-89.4,1,0
29,06/09/05,Richmond,KS,38.4,-95.3,1,0
30,06/08/05,Fennville,MI,42.6,-86.1,1,0
31,06/08/05,Jackson,MI,42.3,-84.4,1,0
32,06/07/05,Bridgewater,NJ,40.6,-74.6,1,0
33,06/07/05,Bridgewater,NJ,40.6,-74.6,1,0
34,06/07/05,Piqua,OH,40.2,-84.3,1,0
35,06/07/05,Newport News,VA,37.1,-76.5,1,0
36,06/02/05,South Lyon,MI,42.4,-83.7,1,0
37,05/28/05,Appleton,WI,44.3,-88.4,1,0
38,05/22/05,Colleyville,TX,32.9,-97.1,1,0
39,05/12/05,Ventura,CA,34.3,-119.3,1,0
40,04/26/05,Gallatin,TN,36.4,-86.5,1,0
41,04/15/05,Austin,TX,30.2,-97.7,1,0
42,04/13/05,Humble,TX,30,-95.2,1,0
43,04/13/05,Prairieville,LA,30.3,-90.9,1,0
44,04/10/05,Prescott,AR,33.8,-93.3,1,0
45,04/10/05,Clinton,MS,32.4,-90.3,1,0
46,04/08/05,Monticello,AR,33.6,-91.8,1,0
47,04/07/05,Port O Connor,TX,28.2,-96.6,1,0
48,04/06/05,Eagan,MN,44.8,-93.2,1,0
49,03/31/05,Houston,TX,29.8,-95.4,1,0
50,03/19/05,Houston,TX,29.8,-95.4,1,0
51,03/17/05,SW Ranches,FL,26.1,-80.3,1,0
52,03/13/05,Huntington Beach,CA,33.7,-118,1,0
53,03/10/05,Houston,TX,29.8,-95.4,1,0
54,03/05/05,W MELBOURNE,FL,28.1,-80.7,1,0
55,03/05/05,Houston,TX,29.8,-95.4,1,0
56,02/26/05,Houston,TX,29.8,-95.4,1,0
57,02/21/05,Houston,TX,29.8,-95.4,1,0
58,02/20/05,Ventura,CA,34.3,-119.3,1,0
59,02/19/05,Sebastian,FL,27.8,-80.5,1,0
60,01/15/05,Clearwater,FL,28,-82.8,1,0
61,01/15/05,St. Petersburg,FL,27.8,-82.6,1,0
