Index,Date,Town,State/Province,Latitude,Longitude,Number,Image
1,07/31/24,Breaux Bridge,LA,30.3,-91.9,2,1
2,07/31/24,Trumbull,CT,41.2,-73.2,1,1
3,07/31/24,Trumbull,CT,41.2,-73.2,1,1
4,07/31/24,Thunder Bay,ON,48.4,-89.2,2,1
5,07/31/24,Thunder Bay,ON,48.4,-89.2,1,1
6,07/30/24,Milford,NJ,40.6,-75,1,1
7,07/30/24,Cambridge,WI,43,-89,1,0
8,07/30/24,Phoenixville,PA,40.2,-75.6,1,0
9,07/30/24,Berkeley,CA,37.9,-122.3,2,1
10,07/30/24,Spring City,PA,40.2,-75.6,2,0
11,07/29/24,Mississauga,ON,43.6,-79.7,1,1
12,07/29/24,Perrysburg,OH,41.5,-83.6,4,0
13,07/29/24,Grand Rapids,MI,43,-85.8,1,1
14,07/28/24,Farmington,ME,44.7,-70.1,2,1
15,07/28/24,New Hampton,NH,43.7,-71.6,2,0
16,07/28/24,Keokuk,IA,40.4,-91.4,5,1
17,07/28/24,Beverly,MA,42.6,-70.9,6,0
18,07/28/24,Davidson,NC,35.5,-80.9,2,1
19,07/28/24,Andover,MA,42.7,-71.1,1,0
20,07/28/24,Bettendorf,IA,41.6,-90.5,2,1
21,07/28/24,Andover,MA,42.7,-71.1,1,0
22,07/27/24,Orillia,ON,44.6,-79.5,2,0
23,07/27/24,Halethorpe,MD,39.2,-76.7,3,1
24,07/27/24,Kirkwood,MO,38.6,-90.4,1,0
25,07/27/24,Bowdoin,ME,44,-70,1,1
26,07/27/24,,Almaty Region,45.4,76,1,1
27,07/27/24,Easthampton,MA,42.2,-72.7,1,0
28,07/27/24,Eureka,NS,45.4,-62.6,1,1
29,07/27/24,Winnipeg,MB,49.9,-97.3,2,0
30,07/27/24,Canton,OH,40.8,-81.5,2,0
31,07/27/24,Bradley Beach,NJ,40.2,-74,6,1
32,07/27/24,Lincolnville,ME,44.3,-69.1,3,1
33,07/26/24,Germantown,MD,39.1,-77.3,1,1
